Name,Lstar,Mstar,Radius,Width,sblow,smin,smin_ep,smin_em,q,q_ep,q_em,Md,Md_ep,Md_em
HD104860,1.1801383086126611,1.048460949356169,110.0,200.0,0.43044048886961117,4.206187040566572,3.92834377813584,2.687424775205187,3.538516326017499,0.18818133091100497,0.20079030380870044,0.006683682906679475,0.0025147120201508806,0.0014594945495846013
HD207129,1.218374475700343,1.0580563494686668,150.0,39.0,0.44845362419757906,1.3853681643436957,1.5174146728452684,1.0862807565563526,3.560691538127166,0.12334508776492248,0.13517668725190024,0.0014578710721785979,0.0005544555592921824,0.00027261766579735774
HD187897,1.2306119903609885,1.0610818790357284,90.1,27.1,0.4542531925437464,2.9422919930753366,0.9445226842413206,0.8571905091501515,3.5,0.0,0.0,0.0009569350447503254,0.00010285212119157279,9.583056270254882e-05
HD1461,1.2392803208542151,1.063212006712649,88.6,27.9,0.45837125421318525,3.7888225330754706,2.1845564233160975,1.288682247847559,3.5,0.0,0.0,0.0004804466082691517,8.962945977492276e-05,8.409771512049791e-05
HD105,1.2535011400148202,1.0666836493846097,85.0,30.0,0.4651449599328836,3.4181860039098932,2.4264274474880443,1.2604201869904084,3.2048511584107313,0.09713938387849685,0.09413365232996451,0.0034440685502102257,0.00032905020767499873,0.0003366964349324707
HD38397,1.3633271710043775,1.0925898675563226,94.4,33.7,0.5181854412962856,10.159037955290609,39.818387044563714,7.233704809961191,3.5,0.0,0.0,0.005785431890928078,0.002538624568656966,0.0012942072715510424
HD50554,1.4988302234624005,1.1225740106675768,75.0,30.4,0.5853227084365873,2.1171128430702857,1.0548235306245681,0.9475999867115801,3.5,0.0,0.0,0.00062652464822577,0.0001596432458165776,9.534767876867719e-05
HD82943,1.5314648543408218,1.1295038723412352,89.4,62.3,0.6017591560198995,3.779213567463134,2.5238306533147843,1.4071769654626882,3.5,0.0,0.0,0.0012528375639686503,0.00021657261499161747,0.00018069902257822085
HD10647,1.5451433641476529,1.1323771058466618,100.0,70.0,0.6086782868157044,2.901008185021344,2.5788506839815275,1.4168532717750753,3.555694717833357,0.12229276304086056,0.1417279358044654,0.003305356364854908,0.0008353231635666236,0.0006505702488827344
HD48682,1.857417707306924,1.193524419228924,93.9,83.3,0.771203227925791,0.3466243384027826,2.49829894987251,0.3119692230422499,3.326451799445788,0.0996230114180956,0.14537542173966678,0.001311620088814294,0.0011571083498319594,0.0005777708679124596
HD219482,1.907000574147003,1.202541949840935,44.0,12.0,0.7977724002188886,1.2999943604632214,1.683905965651796,0.7985110239104307,3.5,0.0,0.0,0.0004535591922817848,0.0002289335184184822,0.00014362575652958923
HD8907,1.971677528751701,1.2140562940010888,100.4,48.9,0.8327270259159695,4.766223314724013,1.69021940651632,1.0504733832747188,3.3817705691037583,0.06857310469957145,0.07461546195598778,0.002954294456445656,0.0001903140768511908,0.00020495567087823983
HD165908,2.143792701083807,1.2434366206660945,130.3,113.0,0.927330170814437,7.597466694551689,8.46494441317213,7.382972913087156,3.56858640472682,0.413414329030096,1.1584608722389618,0.00018363773646998624,0.00011758107049170293,2.9570754966299576e-05
HD52265,2.26316440523914,1.2628374664970528,124.6,85.2,0.9942406384053707,0.8070664285088165,0.8991623748107564,0.7059548125475603,3.5,0.0,0.0,0.0003677061254175744,0.0005085151013546264,9.438502469808337e-05
HD35841,2.3629962559667472,1.2785088065724795,57.0,15.0,1.050980614720507,2.5852340976702104,11.67245762484006,2.361978469471051,3.1469971712271025,0.3552960184825369,0.46530472991119076,0.017256938002266714,0.005922371162966122,0.004584889942346251
HD111520,2.6537098684700666,1.3216028992542204,76.0,50.0,1.220063319100034,0.4746663235473446,0.5656524467993188,0.4206771771647733,3.166829983329868,0.07939202286529978,0.09809412736486056,0.028321831609246503,0.006622364244976035,0.0031130653405097714
HD146181,2.698801983538295,1.3279805681068462,74.0,90.0,1.246782474794095,1.184143415575166,0.8453116327793109,0.9944779532602714,3.326179891615273,0.15415037010938004,0.1538106312936396,0.026805119705752545,0.007045065946382798,0.004562562966047786
HD191089,2.7396306293993105,1.3336898956460135,44.8,16.0,1.2710856685122884,0.9625344316547473,0.4251039560304295,0.5023022722863943,3.194467909474753,0.07455601234128473,0.07187497879019222,0.018022966257645948,0.0016714872433454299,0.0009791925177304386
HD189002,2.8058338108569227,1.3428196825772605,592.1,469.4,1.3107129513981317,0.5762183186947014,4.690931600762541,0.5341209052704821,3.5,0.0,0.0,0.011191241274405753,0.028805305741858855,0.0067160163375606366
HD206893,2.8520023868130115,1.349095905419656,108.0,100.0,1.338507031562547,6.4247237301335565,2.5238984969517206,1.6821985189991508,3.6133997248712584,0.10648087294877673,0.17282846304230404,0.003046371075440555,0.0002721002624775895,0.00022724021849340184
HD181327,2.883206015603383,1.3532967851474473,81.3,16.0,1.357365084771287,1.0366813488652364,0.8875048911375423,0.7636647006901381,3.133615540109046,0.1224101840538716,0.1447010075466464,0.030575537143807934,0.0053051651549839395,0.004249795356099536
HD127821,2.948743198470009,1.3620153004478812,120.0,300.0,1.3971623908218564,5.693044729049911,2.213219445030502,2.858951833081875,3.8407215582201606,0.17785306371706344,0.14036927864921767,0.0022454900450758963,0.0004948934276050821,0.00021772206078171392
HD129590,2.9732604855478737,1.365241297562231,79.0,70.0,1.412115838716761,1.1504630080276226,0.5233915949329018,0.6667476961069887,3.4177316554568415,0.11628624116653219,0.10409967339066206,0.0749884615986813,0.014808900940647893,0.008450503931588402
HD112810,3.1454478998907236,1.38737862414398,90.0,200.0,1.5181176976538404,4.341309743064137,0.7163383065484714,0.5252217728313417,3.5753566465234212,0.06304565707556975,0.07033655822111529,0.009972245977700987,0.0007396604917817018,0.0006683439490467857
HD22484,3.1476961982280534,1.3876618856520908,46.0,15.0,1.519512991543403,1.062451850500594,1.6853985636706048,0.9433062756154214,3.5,0.0,0.0,0.00019730641736377737,0.0003655957450693656,7.019536785406592e-05
HD145560,3.221133569909843,1.3968357851127566,76.0,50.0,1.5652439532307958,19.962079880952636,47.21834023399621,18.485643798844414,3.5132860758129056,0.7654309034358722,1.3179918440387666,0.017784939783527742,0.00854542023520503,0.0063442782953347324
HD164249,3.240507061310968,1.3992310071896579,62.0,20.0,1.5773582476258905,4.223145442245627,0.49865457835303495,0.525269948153682,3.604385988463952,0.10699592751201159,0.10853270971204454,0.012218962812755939,0.0009103029415495987,0.0010749797123264758
HD146897,3.3518211622596588,1.4127985470821716,82.0,90.0,1.6473619340004362,0.8758523766455353,0.715846717578196,0.7423061570895924,3.522953474686406,0.1399042113165021,0.16110084246810397,0.09286245848524688,0.04466450539476738,0.015587656401441108
HD50571,3.361550560942031,1.413969036905606,190.0,160.0,1.6535125496124479,4.59918503425664,2.3605232477665306,2.076767416222184,3.5956627747154544,0.12788404820612964,0.12773996140586918,0.0012387204485930087,0.00021455801872080323,0.00014024897962098496
HD139664,3.3855673374017656,1.4168480382223017,75.0,60.0,1.6687169507353747,1.2589007606356497,1.8289794588556916,1.0688894762119359,3.4064983163925797,0.1628464163957286,0.14127471577463524,0.0017105179679721984,0.0007341148634163229,0.00045792937139561623
HD205674,3.4563695850710943,1.4252514073721225,160.0,120.0,1.7137189595811668,3.46796010129503,0.43678023559948587,0.2666587673054881,3.5992828633143192,0.05623208034856075,0.07266919506026426,0.00429322658566592,0.0002525325564834823,0.0002645728691727939
HD216435,3.546077827527371,1.4357239076223627,68.4,45.5,1.771116559130505,5.747562942570923,6.752454899295733,4.531688709919404,3.5,0.0,0.0,0.0002495483431488639,0.00017005844735836872,4.383785154742485e-05
HD170773,3.5786203102018708,1.4394761164971446,194.0,68.0,1.792041381695812,5.735470432524746,1.3931893700030864,1.324912485615834,3.5837823220323886,0.0654600791279818,0.07561156659008894,0.005801118826258698,0.00042144620629319673,0.00034828820243083466
HD15115,3.7120617792325064,1.454612109517939,93.0,21.0,1.878409787158229,7.032938779525518,8.603687001999154,3.9693159486487373,3.3829276807917292,0.20800796870207483,0.30742777320777437,0.004540732124884954,0.0011722114542933636,0.00088396459935696
HD114082,3.787764278952274,1.4630267597224633,38.0,40.0,1.9278052647190869,1.315933543078875,0.7068439607173218,0.8437674309592209,3.451418640085434,0.16254633916286831,0.1235423302081271,0.041503785275356364,0.007409081140838707,0.004831734306571384
HD142446,3.869019396730731,1.471925988860788,110.0,80.0,1.981138457960518,18.30696635702735,37.134696259395874,13.56960870638894,3.822030982173253,0.4595089537261776,1.3303799120225066,0.007180039334657355,0.0018213893491235353,0.0014697501383309497
HD113337,4.113148805355889,1.497884774007094,79.2,30.0,2.143289202468402,9.995467121689721,1.9216986872117854,1.9014847386829583,3.5,0.0,0.0,0.001055739352136715,6.167968369795028e-05,4.7604950636434074e-05
HD15745,4.2052067626371405,1.5073876692529489,65.0,50.0,2.2051607848835673,14.149669847935124,44.21747066632775,12.860191072291364,3.3517807933979125,1.0939324696778927,1.472645291977722,0.0063551858582587455,0.0021430422614700404,0.0017481921552638087
HD147137,4.345176945844033,1.5215556729907878,120.0,100.0,2.299975778681286,17.564285541476636,42.365256756037105,10.953072220788027,3.732983278889503,0.48808341614839845,1.286201673958185,0.005601390229739531,0.0009544151024862158,0.0007193680049234893
HD113556,4.3859699806154735,1.5256233601848335,110.0,400.0,2.3277746430005615,3.6220945486498026,5.025279787886192,0.7674864829359138,4.268535421364838,0.41208999562935134,1.070715304320487,0.007057543500528242,0.001861147305785557,0.0015683706579001037
HD176894,4.549960969545184,1.541708233541129,316.7,124.3,2.4402696084291815,14.061922084903568,44.504661338248226,7.003426871657629,3.5,0.0,0.0,0.0021870711766981596,0.0007578608558807673,0.00047598962883481366
HD115600,4.797686561985158,1.565238547208808,90.0,200.0,2.612404087270639,0.5441627029000251,0.340976792204712,0.3642530156325686,3.8019063239203597,0.13725194225714565,0.13893163585718327,0.02532548909137327,0.00886651618924008,0.003214247656183021
HD109085,5.041956456339919,1.587605509342939,153.0,53.0,2.7846437119543697,1.871188504162999,34.686796508767536,1.8178841470109308,2.3962964067001398,0.27371063048500277,0.3641131848646584,0.00023861596663390114,2.019937971034887e-05,1.745019791039653e-05
HD16743,5.113203561286502,1.5939831931858748,159.0,80.0,2.835337545440338,4.705385887831705,1.233599432142583,0.9285243574198123,3.5,0.0,0.0,0.003982321555987954,0.0004506632748124892,0.00043102916235115193
HD141133,5.544699643872375,1.6313103014377826,243.5,142.0,3.146607346438383,3.4714449694016927,26.604168078994803,2.051964352099552,3.5,0.0,0.0,0.011020094639248405,0.00727111030143926,0.005004216113573646
HD117214,5.572144024581255,1.6336132154104228,42.0,50.0,3.166646023636857,0.550932282569894,1.558427932599431,0.5065286098565419,3.3053181397802205,0.12429587473363357,0.20701885154322985,0.032460799824718285,0.01726679083990869,0.007721752162561161
HD37594,5.646344100483754,1.6397991954357944,131.3,35.0,3.220964651233238,5.2173672354325715,2.1306873886992017,1.2684189828710188,3.5,0.0,0.0,0.0025651132970396975,0.00032368306203445826,0.00032305685888593845
HD218396,5.695250815903786,1.6438448133178711,290.0,250.0,3.256878961933166,5.631668644900149,4.1252966093503005,4.117050985441615,3.6069839527799403,0.2579667763673288,0.3193323485702515,0.0034668894499778704,0.0009404829218936047,0.0005990524318035964
HD106906,6.577892245924593,1.7129278592374089,100.0,80.0,3.919708547213832,1.246167735060114,0.4903233479259841,0.7193412910060581,3.632675549575674,0.1788481104575479,0.12007428881844584,0.015012677049315751,0.002456394555935739,0.0018897615700600202
HD95086,6.605453293297424,1.714975393487795,206.0,180.0,3.9408369576490982,1.8094954536989925,0.6961767888316277,0.9436177188059051,3.4609312517508712,0.14715719570883623,0.1514650096282315,0.015243390425117152,0.003726469950610836,0.0029628858963988633
