Names,Fe/H,distance,SpType,Age,OneTempT1,OneTempLumL1,TwoTempT1,TwoTempL1,TwoTempT2,TwoTempL2,TotalFracLum,Ref,Observatory
HD105,-0.45,38.83,G0V,30,48,1.90E-04,...,...,...,...,1.90E-04,1,Spitzer
HD166$^{r}$,0.08,13.77,G8,20,...,...,310,4.10E-05,72,4.10E-05,8.20E-05,1,Spitzer
HD203,-0.21,39.74,F3V,12,...,...,499,4.20E-06,127,1.00E-04,1.04E-04,1,Spitzer
HD377$^{r}$,-0.23,38.4,G2V,170,...,...,240,5.80E-05,57,2.00E-04,2.58E-04,1,Spitzer
HD432,...,16.78,F2III,1000,140,1.10E-04,...,...,...,...,1.10E-04,1,Spitzer
HD870,-0.08,20.65,K0V,5980,...,...,499,2.10E-05,54,1.50E-05,3.60E-05,1,Spitzer
HD1051A,-0.72,131.15,A7III,600,36,2.67E-04,...,...,...,...,2.67E-04," 7,61 ",IRAS
HD1237A$^{p}$,-0.47,17.55,G8V,11900,300,1.63E-04,...,...,...,...,1.63E-04," 11,19 ",WISE
HD1404,...,41.32,A2V,469,...,...,249,1.10E-05,115,6.40E-06,1.74E-05,1,Spitzer
HD1461$^{p}$,0.02,23.4,G3V,6880,...,...,499,3.20E-05,54,2.90E-05,6.10E-05,1,Spitzer
HD1466$^{p}$,-0.43,42.82,F8V,30,...,...,374,7.90E-05,97,5.20E-05,1.31E-04,1,Spitzer
HD1562,-0.61,24.73,G1V,6166,75,5.80E-05,...,...,...,...,5.80E-05," 11,23 ",WISE
HD1581,-0.35,8.61,F9.5V,3020,218,1.60E-05,...,...,...,...,1.60E-05,41,Spitzer
HD1835,-0.02,21.33,G2.5V,600,...,...,329,4.10E-05,75,6.70E-06,4.77E-05,1,Spitzer
HD2262,...,23.97,A5IV,200,100,5.90E-06,...,...,...,...,5.90E-06,1,Spitzer
HD2772,0.44,115.74,B8V,184,170,8.20E-06,...,...,...,...,8.20E-06,1,Spitzer
HD2834,...,54.14,A1V,525,...,...,222,7.10E-06,78,9.50E-06,1.66E-05,1,Spitzer
HD3003,-1.48,46.13,A0V,30,...,...,472,5.60E-05,173,8.80E-05,1.44E-04,1,Spitzer
HD3126,-0.54,40.35,F4V,1500,...,...,219,1.40E-05,51,6.30E-05,7.70E-05,1,Spitzer
HD3296,-0.82,44.84,F6V,1680,...,...,499,2.30E-05,60,1.30E-05,3.60E-05,1,Spitzer
HD3670,-0.33,77.07,F5V,30,...,...,307,6.10E-05,51,3.80E-04,4.41E-04,1,Spitzer
HD4142,...,224.57,B5V,55,...,...,487,1.30E-05,100,9.80E-05,1.11E-04,1,Spitzer
HD4676,-0.33,23.39,F8V,5129,300,1.38E-04,...,...,...,...,1.38E-04," 11,23 ",WISE
HD5133,-0.28,13.94,K2.5V,3640,30,1.10E-05,...,...,...,...,1.10E-05," 11,49 ",WISE
HD5267,...,76.78,A1V,200,...,...,414,3.20E-05,100,7.00E-06,3.90E-05,1,Spitzer
HD5349,...,59.01,K0IV,12306,347,2.70E-05,...,...,...,...,2.70E-05,1,Spitzer
HD6798,-1.06,81.33,A3V,365,...,...,240,3.50E-05,85,9.30E-05,1.28E-04,1,Spitzer
HD6963,-0.02,26.96,G7V,1000,...,...,377,3.90E-05,54,5.90E-05,9.80E-05,1,Spitzer
HD7570,-0.25,15.26,F9V,2800,...,...,359,1.30E-05,94,5.40E-06,1.84E-05,1,Spitzer
HD7590,-0.5,24.17,G0V,1820,51,1.20E-04,...,...,...,...,1.20E-04,1,Spitzer
HD8538,...,30.48,A5IV,600,105,6.17E-06,...,...,...,...,6.17E-06," 7,61 ",IRAS
HD8907,-0.64,33.4,F8,2600,...,...,57,6.00E-05,30,6.20E-05,1.22E-04,1,Spitzer
HD8997,-0.41,23.29,K2.5V,500,70,4.40E-05,...,...,...,...,4.40E-05,11,WISE
HD9672$^{gr}$,-0.91,57.23,A1V,40,...,...,179,7.40E-05,66,3.90E-04,4.64E-04,1,Spitzer
HD10008,-0.35,24.06,K0/1V,20,...,...,149,3.80E-05,54,2.90E-05,6.70E-05,1,Spitzer
HD10472,-0.52,71.32,F2IV/V,30,...,...,262,6.40E-05,60,2.00E-04,2.64E-04,1,Spitzer
HD10638,...,67.77,A3,100,...,...,387,2.10E-05,69,9.60E-05,1.17E-04,1,Spitzer
HD10647$^{pr}$,-0.5,17.35,F9V,1560,...,...,100,4.90E-05,42,1.90E-04,2.39E-04,1,Spitzer
HD10700$^{pr}$,...,3.65,G8V,10000,60,2.50E-05,...,...,...,...,2.50E-05,22,Spitzer
HD10939$^{r}$,-0.44,62.28,A1V,417,...,...,188,1.80E-05,57,4.80E-05,6.60E-05,1,Spitzer
HD11171,...,23.48,F0V,1280,73,6.70E-06,...,...,...,...,6.70E-06,25,Spitzer
HD11413,...,78.05,F0V,600,55,2.42E-05,...,...,...,...,2.42E-05,28,Herschel
HD12039,-0.52,41.31,G4V,30,...,...,426,9.90E-05,106,5.40E-05,1.53E-04,1,Spitzer
HD12467,-0.88,70.23,A1.5V,776,...,...,115,1.00E-05,48,5.00E-05,6.00E-05,1,Spitzer
HD12471,-0.7,109.83,A2V,600,...,...,499,1.10E-05,91,6.10E-06,1.71E-05,1,Spitzer
HD13161$^{r}$,...,38.9,A5III,832,...,...,353,1.40E-05,78,2.20E-05,3.60E-05,1,Spitzer
HD13246,-0.65,45.4,F7V,30,...,...,387,2.20E-04,130,7.70E-05,2.97E-04,1,Spitzer
HD14055$^{r}$,...,34.44,A1V,300,...,...,207,2.10E-05,60,4.60E-05,6.70E-05,1,Spitzer
HD14082B,-0.46,39.63,G2V,12,100,8.00E-04,...,...,...,...,8.00E-04,7,Spitzer
HD15060,-0.64,78.72,F5V,2420,51,1.60E-05,...,...,...,...,1.60E-05,1,Spitzer
HD15115$^{r}$,-0.43,48.77,F4IV,12,...,...,182,5.40E-05,54,3.30E-04,3.84E-04,1,Spitzer
HD15257,-0.43,48.99,F0III,1000,...,...,460,4.60E-05,84,4.00E-05,8.60E-05,1,Spitzer
HD15407,-0.24,49.34,F5V,149,500,6.00E-03,...,...,...,...,6.00E-03,3,WISE
HD15427,-1.24,47.7,A2.5V,677,...,...,298,1.50E-05,97,2.90E-05,4.40E-05,1,Spitzer
HD15745$^{r}$,-0.52,71.73,F0,12,...,...,115,1.10E-03,63,5.40E-04,1.64E-03,1,Spitzer
HD16628,...,79.07,A2/3V,519,...,...,203,8.00E-06,91,5.70E-06,1.37E-05,1,Spitzer
HD16743$^{r}$,-0.5,57.81,F0/2III/IV,200,...,...,155,5.80E-05,51,2.50E-04,3.08E-04,1,Spitzer
HD17094,...,25.77,A9III,1445,...,...,365,1.60E-05,51,3.00E-06,1.90E-05,1,Spitzer
HD17240,-3.69,50.21,A9V,1240,61,1.10E-05,...,...,...,...,1.10E-05,1,Spitzer
HD17390,-0.5,48.26,F3IV/V,610,...,...,353,2.60E-05,48,1.30E-04,1.56E-04,1,Spitzer
HD17573,...,50.79,B8V,70,271,1.70E-05,...,...,...,...,1.70E-05,1,Spitzer
HD17848$^{r}$,-0.48,51.92,A2V,100,...,...,353,1.20E-05,57,3.60E-05,4.80E-05,1,Spitzer
HD17925,-0.2,10.36,K1V,190,103,4.40E-05,...,...,...,...,4.40E-05,41,Spitzer
HD18978,...,27.06,A3IV/V,500,150,2.10E-05,...,...,...,...,2.10E-05,21,Spitzer
HD19356,...,27.57,B8V,300,138,7.79E-06,...,...,...,...,7.79E-06," 7,61 ",IRAS
HD19668,-0.02,38.72,G8,70,...,...,478,9.10E-05,78,5.90E-05,1.50E-04,1,Spitzer
HD19994$^{p}$,...,22.88,F8.5V,3550,168,3.50E-05,...,...,...,...,3.50E-05,41,Spitzer
HD20320,...,36.5,A4,800,...,...,149,3.60E-06,60,6.40E-06,1.00E-05,1,Spitzer
HD20631,-0.59,36.97,F3V,1500,...,...,252,2.80E-05,30,2.70E-06,3.07E-05,1,Spitzer
HD20759,-0.99,86.68,F5V,3120,500,3.00E-05,...,...,...,...,3.00E-05,1,Spitzer
HD20794$^{pr}$,0.02,6.04,G6V,6700,65,1.60E-06,...,...,...,...,1.60E-06," 49,65 ",Herschel
HD20807,-0.3,12.04,G1V,2000,119,9.60E-06,...,...,...,...,9.60E-06,1,Spitzer
HD21620$^{g}$,-1.02,133.13,A0V,80,93,2.51E-05,...,...,...,...,2.51E-05,30,Spitzer
HD21997$^{gr}$,...,69.69,A3IV/V,30,...,...,103,4.00E-05,54,3.20E-04,3.60E-04,1,Spitzer
HD22049$^{pr}$,0.13,3.22,K2V,730,53,7.52E-05,...,...,...,...,7.52E-05," 7,61 ",IRAS
HD22179,-0.48,70.3,G5IV,10,...,...,197,5.50E-05,60,1.80E-04,2.35E-04,1,Spitzer
HD22484,-0.36,13.92,F9IV/V,4200,100,8.70E-06,...,...,...,...,8.70E-06,1,Spitzer
HD23267,-1.24,146.51,A0,60,...,...,204,7.20E-05,97,2.60E-05,9.80E-05,1,Spitzer
HD23281,-1.08,42.08,A5III/IV,390,147,3.89E-05,...,...,...,...,3.89E-05,44,Herschel
HD23356,-0.43,13.94,K2V,2000,55,2.20E-05,...,...,...,...,2.20E-05," 10,25 ",Spitzer
HD23361,-0.2,134.04,A3V,115,...,...,414,1.50E-04,103,3.10E-04,4.60E-04,1,Spitzer
HD23430,...,134.91,A0,115,...,...,411,5.80E-05,121,7.30E-05,1.31E-04,1,Spitzer
HD23484$^{r}$,-0.34,16.17,K2V,6450,58,6.70E-05,...,...,...,...,6.70E-05,1,Spitzer
HD23514,-0.24,139.81,F5V,125,600,2.00E-02,...,...,...,...,2.00E-02,3,WISE
HD23585,-0.46,135.1,F0V,740,115,5.40E-05,...,...,...,...,5.40E-05,1,Spitzer
HD23632,-0.47,136.74,A1V,115,...,...,499,1.60E-05,94,1.70E-05,3.30E-05,1,Spitzer
HD23642,-0.7,138.31,A0V,115,...,...,499,8.10E-06,66,1.40E-05,2.21E-05,1,Spitzer
HD23763,0.76,144.94,A2V,115,...,...,499,1.30E-05,51,3.20E-05,4.50E-05,1,Spitzer
HD23863,-0.61,134.81,A7V,1230,293,6.70E-05,...,...,...,...,6.70E-05,1,Spitzer
HD24141,-0.06,53.87,A3,708,...,...,344,2.30E-05,124,1.30E-05,3.60E-05,1,Spitzer
HD24636,-0.7,57.11,F3IV/V,30,...,...,319,3.80E-05,103,8.00E-05,1.18E-04,1,Spitzer
HD24817,...,78.12,A0V,248,...,...,335,4.30E-05,130,1.30E-05,5.60E-05,1,Spitzer
HD24966,-1.45,113.25,A0V,364,...,...,356,1.00E-04,88,2.10E-04,3.10E-04,1,Spitzer
HD25457,-0.31,18.71,F7V,70,...,...,185,3.80E-05,63,5.40E-05,9.20E-05,1,Spitzer
HD25570,-0.5,35.19,F2V,600,...,...,350,1.20E-05,48,2.90E-05,4.10E-05,1,Spitzer
HD25998,-0.17,21.19,F8V,1890,88,1.90E-05,...,...,...,...,1.90E-05,1,Spitzer
HD27045,-0.28,28.51,A3,13,...,...,228,6.80E-06,69,3.80E-06,1.06E-05,1,Spitzer
HD27290$^{r}$,-0.41,20.43,F1V,45,...,...,469,4.30E-05,51,1.10E-05,5.40E-05,1,Spitzer
HD27346,-0.5,110.66,A9IV,1120,207,1.20E-05,...,...,...,...,1.20E-05,1,Spitzer
HD27638B,-0.47,78.71,F8V,200,36,3.10E-04,...,...,...,...,3.10E-04,1,Spitzer
HD27934,...,47.19,A7IV/V,600,311,5.50E-06,...,...,...,...,5.50E-06,1,Spitzer
HD28355$^{r}$,-0.42,48.27,A5,600,...,...,176,1.60E-05,69,3.10E-05,4.70E-05,1,Spitzer
HD28447,-0.08,40.33,G5V,7130,500,6.70E-05,...,...,...,...,6.70E-05,1,Spitzer
HD29365,0.03,127.03,B8V,200,54,1.89E-04,...,...,...,...,1.89E-04," 5,61 ",IRAS
HD30422$^{r}$,-0.74,57.13,A7V,13,...,...,164,1.30E-05,66,2.40E-05,3.70E-05,1,Spitzer
HD30447$^{r}$,-0.74,80.31,F3V,30,...,...,106,1.80E-04,57,5.10E-04,6.90E-04,1,Spitzer
HD30495,-0.19,13.24,G2.5IV/V,550,...,...,170,1.40E-05,63,2.60E-05,4.00E-05,1,Spitzer
HD30743,-0.96,36.25,F6V,1000,62,1.21E-04,...,...,...,...,1.21E-04," 5,61 ",IRAS
HD31295,...,35.66,A0V,123,...,...,365,1.70E-05,72,3.00E-05,4.70E-05,1,Spitzer
HD31392,-0.18,25.76,G9V,3690,...,...,252,3.70E-05,39,9.70E-05,1.34E-04,1,Spitzer
HD31647A,-1.43,49.41,A1V,232,482,4.40E-05,...,...,...,...,4.40E-05,1,Spitzer
HD32195,-0.28,62.47,F7V,30,...,...,246,6.10E-05,69,5.00E-05,1.11E-04,1,Spitzer
HD32297$^{gr}$,-0.66,129.73,A0V,11,...,...,292,5.60E-04,88,3.80E-03,4.36E-03,1,Spitzer
HD32301,-0.47,54.39,A7V,600,...,...,454,3.20E-05,127,1.10E-05,4.30E-05,1,Spitzer
HD32977,-0.76,62.03,A5IV,494,...,...,213,2.00E-05,109,8.60E-06,2.86E-05,1,Spitzer
HD33081,-0.78,53.39,F7V,2490,...,...,216,1.40E-05,45,2.70E-05,4.10E-05,1,Spitzer
HD33262,-0.59,11.69,F9V,3520,158,1.10E-05,...,...,...,...,1.10E-05,41,Spitzer
HD33636,-0.4,29.59,G0V,2520,...,...,499,3.80E-05,51,2.30E-05,6.10E-05,1,Spitzer
HD34324,-0.27,82.06,A3V,447,...,...,499,2.20E-05,130,6.70E-05,8.90E-05,1,Spitzer
HD34787,-0.73,107.61,A0V,330,...,...,499,3.10E-05,146,6.40E-06,3.74E-05,1,Spitzer
HD35114,-0.52,47.34,F6V,30,...,...,139,3.80E-05,66,1.60E-05,5.40E-05,1,Spitzer
HD35150,...,353.09,A0V,10,...,...,426,3.60E-04,139,1.70E-04,5.30E-04,1,Spitzer
HD35332,...,346.3,A0V,10,...,...,341,1.10E-04,118,2.10E-04,3.20E-04,1,Spitzer
HD35351,...,342.5,B9V,10,299,9.50E-05,...,...,...,...,9.50E-05,1,Spitzer
HD35367,-0.2,342.5,A1IV/V,10,...,...,448,1.40E-04,118,2.00E-04,3.40E-04,1,Spitzer
HD35625,...,338.95,A0V,10,...,...,423,8.10E-05,109,6.50E-05,1.46E-04,1,Spitzer
HD35650$^{r}$,0.15,17.46,K6V,200,60,1.75E-04,...,...,...,...,1.75E-04,54,Spitzer
HD35841$^{r}$,-0.25,103.07,F3V,30,...,...,81,3.40E-04,54,9.10E-04,1.25E-03,1,Spitzer
HD35850$^{p}$,-0.48,26.84,F8V,12,82,2.30E-05,...,...,...,...,2.30E-05,1,Spitzer
HD36162,-0.89,104.09,A3V,518,500,1.90E-05,...,...,...,...,1.90E-05,1,Spitzer
HD36394,-1.39,270.91,A0,5,360,8.20E-05,...,...,...,...,8.20E-05,1,Spitzer
HD36444,-1.45,415.08,B9V,5,...,...,109,5.90E-04,42,1.60E-03,2.19E-03,1,Spitzer
HD36546$^{gr}$,-1.18,100.18,B8,10,134,3.40E-03,...,...,...,...,3.40E-03,12,AKARI
HD36968,-0.53,148.56,F2V,20,...,...,106,1.00E-04,51,8.20E-04,9.20E-04,1,Spitzer
HD37286,-0.17,58.49,A2III/IV,30,...,...,451,5.50E-05,142,4.50E-05,1.00E-04,1,Spitzer
HD37306$^{g}$,-1.48,69.56,A1V,30,...,...,399,6.10E-05,94,5.50E-05,1.16E-04,1,Spitzer
HD37484,-0.49,58.84,F4V,30,...,...,194,6.90E-05,81,2.00E-04,2.69E-04,1,Spitzer
HD37524,...,357.45,B9V,3,189,4.70E-05,...,...,...,...,4.70E-05,1,Spitzer
HD37545,...,414.66,B9V,3,225,1.90E-04,...,...,...,...,1.90E-04,1,Spitzer
HD37564,...,402.75,A8V,3,...,...,499,5.90E-04,130,2.60E-04,8.50E-04,1,Spitzer
HD38056,-1.34,125.49,B9.5V,293,...,...,231,2.70E-05,81,2.50E-05,5.20E-05,1,Spitzer
HD38206$^{r}$,-0.16,70.69,A0V,30,...,...,329,7.00E-05,84,7.20E-05,1.42E-04,1,Spitzer
HD38207,-0.42,109.96,F2V,534,...,...,118,1.20E-04,54,6.00E-04,7.20E-04,1,Spitzer
HD38393,-0.69,8.91,F6V,1000,133,1.93E-05,...,...,...,...,1.93E-05," 7,61 ",IRAS
HD38397,-0.4,53.59,G0V,100,44,5.40E-04,...,...,...,...,5.40E-04,15,Herschel
HD38529$^{p}$,...,42.42,G8III/IV,1000,61,2.60E-05,...,...,...,...,2.60E-05,1,Spitzer
HD38678$^{r}$,-0.78,21.61,A2IV/V,12,...,...,368,1.70E-05,133,6.00E-05,7.70E-05,1,Spitzer
HD38858$^{pr}$,-0.53,15.21,G2V,3200,...,...,310,2.40E-05,51,4.60E-05,7.00E-05,1,Spitzer
HD38949,-0.4,44.54,G1V,2710,500,6.20E-05,...,...,...,...,6.20E-05,1,Spitzer
HD39060$^{pgr}$,-0.37,19.44,A6V,12,109,2.65E-03,...,...,...,...,2.65E-03," 7,61 ",IRAS
HD39091$^{p}$,-0.23,18.29,G0V,6040,43,1.51E-06,...,...,...,...,1.51E-06,49,Herschel
HD39833,-0.21,39.9,G3V,700,38,2.62E-03,...,...,...,...,2.62E-03," 5,61 ",IRAS
HD40136,0.08,14.96,F2V,1390,...,...,499,1.90E-05,127,7.40E-06,2.64E-05,1,Spitzer
HD40307$^{p}$,...,12.93,K2.5V,2600,29,3.80E-06,...,...,...,...,3.80E-06,35,Herschel
HD40540,-0.52,88.34,A8IV,170,...,...,390,3.90E-05,88,2.80E-04,3.19E-04,1,Spitzer
HD43319,-0.03,72.57,A3V,288,...,...,499,2.40E-05,121,7.00E-06,3.10E-05,1,Spitzer
HD43834,0.08,10.21,G7V,5500,22,9.70E-07,...,...,...,...,9.70E-07,47,Herschel
HD43989,-0.3,51.67,G0V,30,...,...,319,7.50E-05,66,3.00E-05,1.05E-04,1,Spitzer
HD45184$^{p}$,-0.31,21.89,G2V,4420,...,...,72,3.60E-05,33,2.00E-05,5.60E-05,1,Spitzer
HD46190,-0.93,83.74,A0V,5,...,...,417,1.20E-05,88,8.00E-06,2.00E-05,1,Spitzer
HD46273,...,51.44,F2V,1500,259,5.10E-06,...,...,...,...,5.10E-06,1,Spitzer
HD48189A,...,21.88,G0V,75,200,1.38E-05,...,...,...,...,1.38E-05,14,Spitzer
HD48682,-0.15,16.61,F9V,600,82,1.29E-04,...,...,...,...,1.29E-04," 7,61 ",IRAS
HD50554$^{p}$,-0.45,31.07,F8V,390,...,...,365,3.70E-05,54,2.60E-05,6.30E-05,1,Spitzer
HD50571$^{pr}$,0.08,33.93,F5V,300,...,...,402,1.40E-05,45,8.20E-05,9.60E-05,1,Spitzer
HD51199,-0.42,29.79,F1.5V,1400,...,...,240,5.00E-06,94,2.40E-06,7.40E-06,1,Spitzer
HD52265$^{p}$,-0.14,29.92,G0V,2400,...,...,499,1.40E-05,57,1.40E-05,2.80E-05,1,Spitzer
HD53143$^{r}$,0.11,18.34,G9V,45,...,...,499,4.80E-05,109,8.30E-05,1.31E-04,1,Spitzer
HD53842,-0.36,57.66,F5V,30,...,...,158,5.70E-05,33,1.50E-04,2.07E-04,1,Spitzer
HD54341,-0.16,101.46,A0V,364,...,...,246,1.90E-05,60,1.70E-04,1.89E-04,1,Spitzer
HD55052,...,108.63,F5III/IV,690,500,3.10E-05,...,...,...,...,3.10E-05,1,Spitzer
HD56099,...,98.98,F8,500,38,1.10E-03,...,...,...,...,1.10E-03,56,IRAS
HD56124,-0.24,27.25,G0,3580,85,2.30E-06,...,...,...,...,2.30E-06,1,Spitzer
HD56537,...,30.67,A4IV,314,231,7.20E-07,...,...,...,...,7.20E-07,1,Spitzer
HD56986,...,18.6,F2V,400,82,1.13E-05,...,...,...,...,1.13E-05," 7,61 ",IRAS
HD57703,-0.8,43.69,F2,600,...,...,499,4.50E-05,45,2.20E-05,6.70E-05,1,Spitzer
HD58946,-0.4,18.05,F1V,1700,21,5.70E-07,...,...,...,...,5.70E-07,20,Herschel
HD59967,-0.53,21.75,G3V,200,...,...,133,1.30E-05,72,1.70E-05,3.00E-05,1,Spitzer
HD60234,-0.1,125.6,G0,600,50,2.95E-04,...,...,...,...,2.95E-04," 5,61 ",IRAS
HD60737,-0.3,39.43,G0,3040,...,...,350,2.40E-05,63,3.40E-05,5.80E-05,1,Spitzer
HD60995,...,479.32,B8/9V,100,317,2.90E-05,...,...,...,...,2.90E-05,1,Spitzer
HD61005$^{r}$,-0.3,36.45,G8V,4670,...,...,78,1.50E-04,48,1.40E-03,1.55E-03,1,Spitzer
HD61421,...,3.51,F5IV/V,2700,113,1.50E-06,...,...,...,...,1.50E-06,20,Herschel
HD67523,...,19.48,F5II,2000,88,2.40E-05,...,...,...,...,2.40E-05,1,Spitzer
HD67827,-0.37,47.85,G0,4470,103,1.80E-05,...,...,...,...,1.80E-05,1,Spitzer
HD68420,-0.86,387.25,A3V,30,...,...,368,1.30E-04,133,3.50E-05,1.65E-04,1,Spitzer
HD68698,...,382.29,A1V,30,231,1.00E-04,...,...,...,...,1.00E-04,1,Spitzer
HD69830$^{p}$,0.04,12.58,G8V,5670,30,2.00E-04,...,...,...,...,2.00E-04,1,Spitzer
HD70298,-0.89,67.77,F3V,2730,500,4.10E-05,...,...,...,...,4.10E-05,1,Spitzer
HD70313$^{r}$,-0.11,51.28,A3V,200,...,...,182,2.70E-05,60,5.60E-05,8.30E-05,1,Spitzer
HD70573,-0.34,59.08,G1/2V,100,271,4.80E-05,...,...,...,...,4.80E-05,1,Spitzer
HD71043,-1.47,72.15,A0V,30,...,...,347,4.70E-05,121,2.00E-05,6.70E-05,1,Spitzer
HD71155$^{r}$,...,37.51,A0V,306,...,...,499,2.00E-05,109,2.20E-05,4.20E-05,1,Spitzer
HD71722$^{r}$,-1.21,69.27,A0V,324,...,...,237,2.30E-05,72,6.10E-05,8.40E-05,1,Spitzer
HD72660,...,98.17,A0V,200,500,1.40E-05,...,...,...,...,1.40E-05,1,Spitzer
HD72687,-0.35,45.47,G5V,3140,183,7.50E-05,...,...,...,...,7.50E-05,1,Spitzer
HD72905,-0.46,14.44,G0.5V,300,...,...,499,2.70E-05,69,8.00E-06,3.50E-05,1,Spitzer
HD73210,-1.87,182.82,A5V,730,76,1.06E-05,...,...,...,...,1.06E-05,10,Spitzer
HD73350,-0.21,24.35,G8,513,63,1.45E-04,...,...,...,...,1.45E-04,14,Spitzer
HD73752,...,19.62,G3V,600,119,5.21E-05,...,...,...,...,5.21E-05," 7,61 ",IRAS
HD74340,-0.27,150.08,F5V,45,247,1.80E-04,...,...,...,...,1.80E-04,1,Spitzer
HD74374,-0.24,150.96,F3V,45,137,1.50E-04,...,...,...,...,1.50E-04,1,Spitzer
HD74873$^{r}$,-0.27,55.63,A1V,539,...,...,435,3.00E-05,133,2.10E-05,5.10E-05,1,Spitzer
HD75416$^{g}$,...,98.35,B8V,8,...,...,393,1.00E-04,124,6.50E-06,1.07E-04,1,Spitzer
HD75505,-0.69,98,A1V,8,500,9.60E-06,...,...,...,...,9.60E-06,1,Spitzer
HD75616,-0.72,35.71,F5,1400,54,3.40E-05,...,...,...,...,3.40E-05,1,Spitzer
HD75747,-0.3,98.65,A7V,8,...,...,499,1.50E-04,490,1.10E-06,1.51E-04,1,Spitzer
HD76151,-0.11,16.85,G2V,1650,97,1.90E-05,...,...,...,...,1.90E-05,1,Spitzer
HD76543,-0.85,49.19,A5III,394,...,...,146,1.70E-05,81,3.00E-05,4.70E-05,1,Spitzer
HD76582,-1.26,48.89,F0IV,538,...,...,466,1.90E-05,78,4.80E-05,6.70E-05,1,Spitzer
HD76653,-0.4,24.34,F6V,770,85,1.50E-05,...,...,...,...,1.50E-05,1,Spitzer
HD76748,-0.09,48.96,K0V,4250,137,4.00E-05,...,...,...,...,4.00E-05,1,Spitzer
HD76943,...,16.07,F3V,1400,27,4.60E-07,...,...,...,...,4.60E-07,20,Herschel
HD78702,...,101.94,A0/1V,351,...,...,499,2.40E-05,118,1.20E-05,3.60E-05,1,Spitzer
HD79108,-1.22,114.66,A0V,283,...,...,262,3.80E-05,72,3.50E-05,7.30E-05,1,Spitzer
HD80425,-0.67,102.31,A5,1025,500,2.70E-05,...,...,...,...,2.70E-05,1,Spitzer
HD80606$^{p}$,0.28,66.03,G8V,8960,45,5.67E-04,...,...,...,...,5.67E-04," 10,13 ",Spitzer
HD80671,...,33.94,F5V,1830,30,3.70E-08,...,...,...,...,3.70E-08,1,Spitzer
HD80950,-0.16,76.39,A0V,138,...,...,286,7.30E-05,143,5.60E-05,1.29E-04,1,Spitzer
HD81515,-0.29,114.4,A5V,534,116,5.70E-05,...,...,...,...,5.70E-05,1,Spitzer
HD82443,-0.04,18.07,G9V,35,...,...,207,2.60E-05,91,1.90E-05,4.50E-05,1,Spitzer
HD82943$^{p}$,-0.18,27.69,F9V,430,...,...,442,3.60E-05,54,6.10E-05,9.70E-05,1,Spitzer
HD83808,...,39.95,F8,400,134,7.50E-06,...,...,...,...,7.50E-06,1,Spitzer
HD84075,-0.3,63.65,G2V,40,...,...,149,4.50E-05,54,1.10E-04,1.55E-04,1,Spitzer
HD84870,-0.54,88.77,A3,100,...,...,420,4.60E-05,69,1.30E-04,1.76E-04,1,Spitzer
HD85301,-0.02,33.27,G5,600,...,...,146,7.60E-05,54,4.30E-05,1.19E-04,1,Spitzer
HD85364,0.06,66.21,A4V,1025,...,...,207,1.60E-05,60,4.20E-05,5.80E-05,1,Spitzer
HD85672,-0.38,109.15,A0,30,76,2.85E-04,...,...,...,...,2.85E-04," 7,61 ",IRAS
HD86087,0.22,99.2,A0V,365,...,...,381,3.70E-05,91,9.50E-05,1.32E-04,1,Spitzer
HD87696,...,28.24,A7V,300,143,1.20E-05,...,...,...,...,1.20E-05,1,Spitzer
HD88215,...,27.74,F3V,1000,259,4.60E-05,...,...,...,...,4.60E-05,1,Spitzer
HD88230,-0.04,4.87,K6V,6600,22,1.60E-06,...,...,...,...,1.60E-06,47,Herschel
HD88824,-0.35,49.65,F0IV,1350,...,...,499,3.70E-05,81,1.40E-05,5.10E-05,1,Spitzer
HD88955,...,31.08,A2V,40,138,6.30E-06,...,...,...,...,6.30E-06,44,Herschel
HD89846,-0.47,179.56,F2,1125,67,1.80E-05,...,...,...,...,1.80E-05,1,Spitzer
HD90089,...,23.02,F4V,1800,70,1.67E-05,...,...,...,...,1.67E-05,36,Spitzer
HD90839,-0.52,12.95,F8V,2970,50,9.10E-07,...,...,...,...,9.10E-07,35,Herschel
HD90874,-1.22,68.02,A2V,400,...,...,499,9.40E-06,106,1.10E-05,2.04E-05,1,Spitzer
HD90905,-0.5,30.76,G1V,90,216,3.40E-05,...,...,...,...,3.40E-05,1,Spitzer
HD91312,...,34.31,A7IV,414,500,1.60E-05,...,...,...,...,1.60E-05,1,Spitzer
HD91375,...,79.87,A1V,400,79,2.49E-05,...,...,...,...,2.49E-05," 7,61 ",IRAS
HD92536,-1.21,155.1,B8V,46,...,...,280,6.70E-05,75,8.00E-06,7.50E-05,1,Spitzer
HD92945$^{r}$,0.01,21.51,K1V,300,36,4.90E-04,...,...,...,...,4.90E-04,1,Spitzer
HD93738,-1.48,133.11,B9.5V,46,250,2.50E-05,...,...,...,...,2.50E-05,1,Spitzer
HD93932,-0.23,50.73,G3V,4730,500,2.00E-04,...,...,...,...,2.00E-04,1,Spitzer
HD95086$^{pgr}$,-0.71,86.46,A8III,17,...,...,225,7.80E-05,57,7.40E-04,8.18E-04,1,Spitzer
HD95418$^{r}$,...,24.45,A1IV,500,94,1.22E-05,...,...,...,...,1.22E-05," 5,61 ",Spitzer
HD95608,...,38.87,A1,420,198,3.00E-05,...,...,...,...,3.00E-05,1,Spitzer
