# %ECSV 1.0
# ---
# datatype:
# - {name: Target, datatype: string}
# - {name: Distance (pc), datatype: float64}
# - {name: Distance error (pc), datatype: float64}
# - {name: RA (deg), datatype: float64}
# - {name: DEC (deg), datatype: float64}
# - {name: Flux B1 (uJy), datatype: float64}
# - {name: upFlux B1 (uJy), datatype: float64}
# - {name: udFlux B1 (uJy), datatype: float64}
# - {name: Radius (au), datatype: float64}
# - {name: Width (au), datatype: float64}
# - {name: inc (deg), datatype: float64}
# - {name: pa (deg), datatype: float64}
# schema: astropy-2.0
Target "Distance (pc)" "Distance error (pc)" "RA (deg)" "DEC (deg)" "Flux B1 (uJy)" "upFlux B1 (uJy)" "udFlux B1 (uJy)" "Radius (au)" "Width (au)" "inc (deg)" "pa (deg)"
HD181327 51.81347355080535 1.8058304949931099 290.74559884271 -54.538048796839995 89.41659836164936 15.460670187248907 12.385040322869356 81.3 16.0 98.0 29.9
HD139664 17.51620244048414 0.22373048391346018 235.29740336214545 -44.66120602675139 14.526897142787767 5.160878925883846 3.2192755659254617 75.0 60.0 76.0 80.0
HD170773 36.982247268555525 0.5693847213254273 278.25381970894 -39.892020867490004 33.56082603023515 2.394085896210249 1.9785013147702937 194.0 68.0 114.0 33.0
HD15115 48.16955630900113 0.9704919098961327 36.56769077023001 6.29255179257 12.637210518010399 3.172602563022986 2.39245943491663 93.0 21.0 98.5 88.0
HD176894 85.17887729948022 5.237040267184284 285.13307808216 41.68424671337 13.091171176763703 4.485611636018509 2.817277869885797 316.7 124.3 92.1 64.8
HD109085 18.208303593233786 0.22147950543519457 188.01761000770082 -16.196005170938612 83.87729655328864 6.828899728625784 5.899470849281746 153.0 53.0 120.0 39.0
HD141133 106.72358721596001 9.151266403874914 237.12703814972997 -32.08655628264 13.046054351783244 8.545356950529372 5.881194367194883 243.5 142.0 78.4 31.6
HD218396 40.38772175912698 1.0716466159108862 346.86964883731 21.13425299097 34.61701042088468 9.236853894813178 5.883530321594051 290.0 250.0 51.0 39.0
HD95086 86.44237464929898 0.2435354181697562 164.26258988328 -68.66734700448 23.453783558081167 5.697297013809395 4.52987443707794 206.0 180.0 93.0 29.0
HD27290 20.462451848910508 0.15185519294539773 64.00661092702 -51.48664797621 17.88599352409548 6.356915576813053 2.4886757050472976 80.6 71.1 34.2 58.6
HD105211 19.68891478586848 0.19970789529757482 181.72040893237084 -64.61373070048556 14.515464493958413 1.9708861055610043 1.4771870791326827 131.5 23.0 28.2 66.4
HD32297 136.23977918412254 6.617363673020321 75.61431614758 7.46102182035 23.89510483125045 5.063205943865882 3.9313629218715453 122.3 62.0 47.8 87.0
HD195627 27.57099496495727 0.5188908695189554 308.89520861537994 -60.58174912319 18.270744079981192 1.7831143805475749 1.1358734778958122 119.1 106.6 177.6 56.5
HD39060 19.278967044383236 0.19143770865819576 86.82119870875 -51.066511426388885 85.8502525356222 15.482268726180749 11.881108251911577 105.0 92.0 30.0 86.6
HD131835 122.69939224614768 16.189500322040374 224.22694902582998 -35.695460781440005 12.209640971063083 2.8315187247975744 2.5641606672771116 83.7 87.0 59.6 73.7
HD76582 46.12546060533332 0.7129460519297126 134.39666532058 15.581284925840002 12.728349585838636 7.909634391993202 4.448419467806606 219.0 210.0 103.7 72.0
HD21997 68.306009327117 2.4153468058214287 52.97352920947 -25.614150000309998 14.316704903591786 1.1052864288852005 1.1614653234075216 94.0 52.0 27.0 34.0
HD142091 31.12355950066766 0.6023283634516616 237.8080470598467 35.65738158087722 13.458523969336062 4.970730137191784 0.9108009003966651 102.9 66.3 126.2 66.7
